MatchId,Summoner,Champion,Win,Kills
6037760972,Furminator,Lee Sin,true,2
6036072832,Peachy Mochi,Lee Sin,true,3
6034942581,bonkol wikipedia,Lee Sin,true,3
6033273439,Koldo,Lee Sin,true,2
6031590590,MrNiceGuy,Lee Sin,true,8
6023621279,WlaMaWla,Lee Sin,true,9
6019445059,Suukuunaa,Lee Sin,false,1
6019185820,tortentesterT,Lee Sin,true,1
6017936226,Gástly,Lee Sin,true,5
6013010135,Hytham,Lee Sin,false,3
6012000371,Nøt Cønnected,Lee Sin,true,4
6011381775,Lussoo,Lee Sin,false,0
6009457099,yuri lee ,Lee Sin,false,0
6002426364,Nalkor,Lee Sin,true,2
6000398153,ItsYuly,Lee Sin,true,0
5997675808,RoxXis,Lee Sin,true,4
5996788587,Skyeimerdinger,Lee Sin,false,12
5993620585,Tzarayeba,Lee Sin,true,2
5960674817,Man With A Bird,Lee Sin,true,2
6749448711,THEH0SE,Lee Sin,false,3
6749221669,Lagecyro,Lee Sin,false,3
6749185398,no broma,Lee Sin,true,1
6743513322,Tyràńt ,Lee Sin,false,1
6743430202,solukmavinokta,Lee Sin,true,2
6742176908,Qnoxs,Lee Sin,true,3
6741980940,spaghetti bud,Lee Sin,true,6
6740368012,Qnoxs,Lee Sin,false,2
6739090610,Qnoxs,Lee Sin,false,4
6738696427,PHKT ,Lee Sin,false,1
6737281486,zcmee ,Lee Sin,true,9
6736193860,yüzenköfte,Lee Sin,false,3
6735877054,KLUCKA FKN DELL,Lee Sin,true,0
6734809345,Shunrim,Lee Sin,true,3
6733554310,LordSteve,Lee Sin,true,2
6733387927,KLUCKA FKN DELL,Lee Sin,false,1
6733307947,umarım ölürüm,Lee Sin,false,3
6731516323,S04 Nukes,Lee Sin,true,1
6730310912,Calmsky,Lee Sin,false,1
6730076654,Fynoxe,Lee Sin,true,4
6728640245,Cinqe,Lee Sin,true,2
6727499934,Poklradvor,Lee Sin,false,2
6725882780,spaghetti bud,Lee Sin,true,2
6724666548,GIA Attila,Lee Sin,false,2
6724152403,Èternal Monarch,Lee Sin,false,4
6720982136,300pregabalin,Lee Sin,true,1
6719359959,Chapter I,Lee Sin,false,6
6718100902,54 Caio,Lee Sin,false,2
6716320744,Mauro Garih,Lee Sin,false,1
6716304584,Qnoxs,Lee Sin,false,4
6632887544,SMRADOCH LEVI,Lee Sin,false,6
6627863809,DESLECHADOR,Lee Sin,true,1
6627534349,reoace,Lee Sin,false,1
6626094321,Murmol,Lee Sin,true,3
6626020946,Τadej Pogačar,Lee Sin,false,1
6625171125,SMRADOCH KAMIL,Lee Sin,false,3
6623475767,MARIA I AM DRUNK,Lee Sin,true,0
6623429724,DESLECHADOR,Lee Sin,true,0
6620722329,No God Complex,Lee Sin,true,1
6618495922,Hannibal Barkas,Lee Sin,true,3
6618464587,hmyok,Lee Sin,true,1
6618402610,GOREDRINK STERAK,Lee Sin,true,0
6618377266,QLONAA,Lee Sin,true,1
6618275329,Lathyrus,Lee Sin,true,1
6613285923,HMpeiwan Mdog,Lee Sin,true,0
6613160010,Lekcyc LFT,Lee Sin,true,2
6610807097,reoace,Lee Sin,true,7
6609677033,GOREDRINK STERAK,Lee Sin,true,4
6608476580,Theoloris,Lee Sin,true,7
6608417194,LiL TommyG,Lee Sin,true,0
6604232542,tech movement,Lee Sin,false,1
