MatchId,Summoner,Champion,Win,Kills
6615138778,The night tiger,Volibear,true,9
6613539577,Biscuitlmaozz,Urgot,true,7
6613423090,Poglotitel chaya,Sett,true,12
6612907793,Ebelerin,Gangplank,true,6
6612870219,Ich hab kb,Jayce,true,10
6612846635,Ysbaldurald,Riven,true,8
6612463487,La ßeuss,Volibear,true,2
6612220574,Gor1lla18,Illaoi,true,8
6611633122,AcePuppy,Gnar,true,10
6611095336,Xomhoé,Rumble,true,14
6610894260,chaisedebureau21,Garen,true,3
6610473725,Ðegwy,K'Sante,true,5
6610466659,Law Brow,Volibear,true,5
6610388853,KOKKO1,Akali,true,6
6609242602,Shenσbi,Sion,true,6
6608943484,SoloQGrind,Heimerdinger,true,2
6608891957,Mamutten,Sion,true,3
6608601243,PickleRick420,Aatrox,true,10
6608529223, Aspectxx,Fiora,true,5
6608076416,FreyaFamilia,LeBlanc,true,7
6608066759,TaIonIover,Vayne,true,10
6608038081,MrNiceGuy,Illaoi,true,3
6608017622,føssæ,Karthus,true,11
6607530263,GADO 23 CM,Zed,true,4
6607196534,Wazier Loves Elf,Teemo,true,4
6606828058,GarbageTrashNoob,Aatrox,true,8
6606573570,AproG12,Mordekaiser,true,4
6606450630,Dovahshan,Singed,true,4
6606387750,fb fp fb,Garen,true,4
6605950845,amigozomar,Yorick,true,6
6605904009,Versigo,Quinn,true,9
6605374022,Sergiogd7,Nasus,true,5
6605365680,DCV Sagittarius,Gwen,true,5
6605057135,MrNiceGuy,LeBlanc,true,6
6604507515,Megamìnd,Urgot,true,9
6604431349,Daryun,Tryndamere,true,7
6604185990,Sanatios,Jax,true,11
6603875934,eobjr,Garen,true,4
6603828940,MegaDooOooM,Gangplank,true,0
6603737951,Megamìnd,Nasus,true,4
6603123489,MisticStrong,Volibear,true,3
6603034509,MrSugarGrandpa66,Mordekaiser,true,17
6602661394,UnchainedJunior,Sett,true,13
6602497072,Justenothalv,Jax,true,5
6602474812,BenkyoFrodo,Kayle,true,5
6602272665,Suppau,Renekton,true,6
6600651621,Ragyan,Morgana,true,2
6600048677,Megamìnd,Warwick,true,1
6599840908,Megamìnd,Warwick,true,0
6599484063,FROM 4A TO 5A,Garen,true,3
6599431322,Megamìnd,Nasus,true,7
6598823492,Giusaurus,Urgot,true,7
6598721692,Megamìnd,Nasus,true,0
6598671816,Megamìnd,Nasus,true,4
6598468093,Mercyw,Rengar,true,13
6598299876,Chrisv723,Master Yi,true,21
6598199727,FonsiNatra,Akali,true,11
6597645859,Fernando97tini,Graves,true,4
6597484892,Kynail,Aatrox,true,2
6596206015,NV1GideonNV1,Graves,true,9
6595109846,TeemoLoveKriffen,Yorick,true,2
6595053774,dagascar01,Nasus,true,10
6594759245,Rutrarbx,Ornn,true,8
6594683160,Phoooooooebe,Tryndamere,true,2
6592788312,Hvit,Akshan,true,5
6592683812,Bobba Tankatutto,Mordekaiser,true,8
6592404429,Galdéria,Yorick,true,11
6592356926,Schæfer,Lissandra,true,16
6591895942,Dortlover,Gragas,true,4
6591758064,MVPI59,Mordekaiser,true,10
6590963491,DjSuniukas,Kled,true,15
6590747334,Miketysonpunch,Tryndamere,true,8
6589996532,Uppsala,Malphite,true,9
6589715685,jallaa,Kennen,true,7
6588602607,xEuphoriaZ,Malphite,true,4
6588553919,Golem de sueur,Mordekaiser,true,9
6587601430,Nerentel,Sett,true,7
