MatchId,Summoner,Champion,Win,Kills
6324055483,TeemoShrooms9k,Teemo,false,6
6736340357,MILThErA,Fiora,false,5
6428584667,hi im Gepetto,Wukong,true,16
6624928745,OmarwL,Yone,false,6
6720390902,Bobinizer,Syndra,true,11
6269612276,haon45,Jax,false,6
6347090766,kittyinthebushPL,Gragas,true,6
6445356352,jubdx14,Dr. Mundo,true,10
6610341942,mascletá,Garen,false,6
6325631057,StonedFemboy,Akali,false,6
6012863344,The Omega UJ,Malphite,true,5
6265865903,2Erklaerbaer2,Shen,false,6
6584903388,Vizícsacsi,Ornn,true,5
6645600080,Ayanami is Sus,Cho'Gath,true,12
6346681749,Kackwursthans,Aatrox,false,6
6635457482,stefanbg2,Pantheon,false,9
6385615020,Tillvar,Sion,false,5
5960578522,blaceaim,Fiora,false,6
6585909323,Tyräel,Sion,true,5
6621434700,William Li,Udyr,true,6
6000218620,CmB Maggozz,Urgot,true,11
6586216305,Theshy C1 RIVEN,Rumble,false,5
6335148236,É Tanga,Malphite,false,6
6548478417,Deeztrox,Aatrox,true,14
6528691327,Is Always,Pantheon,true,11
6519488065,findorb,Aatrox,true,10
6033073788,SKT HEAVYBACK,Garen,true,13
6264971302,TeemoShrooms9k,Teemo,true,11
6546241841,Sundänce,Camille,true,10
6370531834,DeãthHãwk,Kayle,true,7
6269973986,Morghost,Sett,true,9
6296810225,Pegu sama,Mordekaiser,false,7
6738729768,NanahiraLover,Riven,false,9
6548534222,Shayn45,Garen,true,8
6261221583,rekamwohS GWD,Gangplank,false,5
6023440296,The Omega UJ,Yorick,false,8
6277326359,DragonOfPou,Olaf,false,13
6286108900,Prorab228,Fiora,true,8
6299633613,Aldadervan,Ornn,true,9
6525952965,TrashTalkMaster,Darius,false,23
6614599952,Kamiloo,Fiora,true,6
6298577176,TeemoShrooms9k,Teemo,false,8
6704764365,GOT PERMA BANNE,Olaf,true,8
6610466659,Law Brow,Volibear,true,5
6286083911,Neue Trulla,Gwen,false,17
6749448711,C11H15ΝO2,Cassiopeia,true,8
6623475767,EF NanoStrqfe,Camille,false,8
6708948935,Doolan,Riven,true,11
6325566339,SaufenTralala,Pantheon,false,7
6474804418,Shaneχ,Volibear,true,5
